ctoi_alias,pl_pnum,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
369864738.01,1,0,163.628917,-87.269735,-5.215,-8.358,2458626.54168,2.78186,2.456,490.0,4.92567,1323.21,1680.0,9.5162,292.085,6819.0,3.92,2.21
290348382.01,1,0,328.710839,-77.337433,247.896,-157.626,2460140.221205,6.4410082,1.798,7076.0,4.59203,8.2114,471.0,9.66865,23.8853,3469.0,4.71,0.53
388104525.01,1,1,55.933639,-65.19378,21.126,16.543,2460069.773646,2.4997996,2.865171,14621.2059647,13.8516093,907.8624196,1399.9894384,11.6035,302.448,5650.0,4.28867,1.13732
143257766.01,1,0,293.389272,-45.892667,11.184,3.978,2458656.45082,1.66226,3.321,6030.0,13.3343,7149.89,2561.0,10.4063,386.323,7301.0,4.23,1.64
405862830.01,1,0,279.062469,-43.620606,6.138,10.755,2460122.432108,1.6268695,3.231,1502.0,2.36498,1946.23,1850.0,10.3579,97.8115,5034.0,4.64,0.73
425721385.01,1,0,289.761799,-43.074223,17.105,-55.58,2458663.15245,13.5499,1.795,1180.0,6.24633,31.6652,660.0,9.7298,222.529,6209.0,4.09,1.63
91576611.01,1,0,284.157959,-29.398357,17.883,-14.764,2458659.06927,4.43651,3.365,1520.0,19.9664,8233.41,2653.0,8.7823,247.414,7101.9,3.91,2.32
97409519.01,1,1,332.714337,-30.749719,-0.71,-14.516,2458327.053085,3.372877,2.63426,17163.60419,14.201803,615.165921,1270.187448,12.1893,448.637,6050.0,4.45061,1.02
254113311.01,1,1,286.376004,-41.43764,12.538,-27.18,2460144.137122,8.34998,1.836,16680.0,11.1424,19.9348,588.0,10.1429,58.2609,4236.0,4.52,0.74
254113311.02,2,1,286.376004,-41.43764,12.538,-27.18,2460126.924264,4.0686405,1.8373729,2650.0950013,3.7548333,84.108766,772.378302,10.1429,58.2609,4236.0,4.52,0.741921
267489265.01,1,0,298.781281,54.781445,-7.484,-20.775,2460351.800169,1.5502952,2.938,411.0,3.34528,10796.6,2839.0,9.2293,286.668,7851.0,4.17,1.86
69997672.01,1,0,294.824079,31.958037,-5.049,-28.421,2458684.2349,1.80709,3.297,450.0,4.86242,7233.01,2569.0,9.11458,233.369,6244.0,3.84,2.2
122220263.01,1,0,290.02096,36.637774,21.767,15.98,2460333.437983,18.6922101,7.765,11126.0,18.1458,282.175,1141.0,9.03609,170.732,6277.0,4.09,1.65
154872375.01,1,1,193.39637,85.129495,16.883,5.076,2460658.97426,8.0277326,4.284,5705.0,9.06883,248.619,1106.0,9.02855,114.048,5962.7,4.38,1.15
